Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S28919233,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,40,US-TX,Galveston,L273461,Goose Island SP (CTC 048),28.13255,-96.985052,2016-06-14,09:25 AM,eBird - Traveling Count,150,1,2.414,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S36968939,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Comal,L5854930,1441 (Private),30.159205,-97.3144913,2018-04-22,07:50 AM,eBird - Traveling Count,86,1,1.207,,1,,,"65 degrees, clear skies, little to no wind.",
S62586921,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,66,US-TX,Dallas,L956160,Brackenridge Park--Joske Pavilion & Lambert Beach,29.4629383,-98.4698155,2017-07-15,08:38 AM,eBird - Traveling Count,68,1,1.931,,1,,,"45-55 degrees, clear, little to no wind.",
S19063988,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,4,US-TX,Aransas,L273764,Hugh Ramsey Park (Harlingen Arroyo Colorado) WBC (LTC 026),26.1857402,-97.6641657,2019-09-28,09:15 AM,eBird - Traveling Count,105,1,2.414,,2,,,Overcast sky,
S29147372,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,25,US-TX,Hidalgo,L128874,Anahuac NWR (UTC 049),29.6148414,-94.5344353,2018-10-19,07:15 AM,eBird - Traveling Count,132,1,4.023,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S26906877,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,14,US-TX,Williamson,L1437688,Canyon Lake--Overlook Park/SE Nature trails,29.8603424,-98.1966476,2014-04-19,07:47 AM,eBird - Traveling Count,57,1,1.287,,1,,Flyovers,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S18494951,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,68,US-TX,Chambers,L141106,Brazos Bend SP (UTC 117),29.3735739,-95.6230259,2018-12-26,05:15 PM,eBird - Traveling Count,150,1,3.219,,4,,,,
S36158181,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Harris,L209616,High Island--Boy Scout Woods (UTC 055),29.5613445,-94.3902236,2018-02-24,06:10 PM,eBird - Traveling Count,30,1,.322,,2,,,,
S19054063,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,12,US-TX,Brewster,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2017-07-05,08:40 AM,eBird - Traveling Count,200,1,4.828,,1,,,"Overcast, light breeze.",
S134783046,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,2,US-TX,Fort Bend,L374130,Blucher Park (CTC 071),27.791317,-97.399174,2021-03-26,03:10 PM,eBird - Traveling Count,69,1,.738,,1,,,,
